ablation_id,ci95_hi,ci95_lo,codec_id,mean,median,metric,n,stride,unit
beam_rvq_group,0.972926751081688,0.9661648589877573,dac,0.9695107251202928,0.9683820693352403,bandwise_envelope_correlation,24,2,7
beam_rvq_group,-9.963579564293227,-10.946830670038858,dac,-10.459198037783304,-10.431286811828613,palette_embedding_shift,24,2,7
beam_rvq_group,0.8771583154797553,0.7628150143971045,dac,0.8213365549842516,0.8524154424667358,token_change_rate_middle,24,2,7
beam_rvq_group,0.893100340416034,0.7862308815121651,dac,0.8419686034321785,0.8736715018749237,token_change_rate_fine,24,2,7
beam_rvq_group,1987.504667152825,1721.4384447480065,dac,1824.537640515094,1719.9957220582291,sequence_runtime_ms,24,2,7
beam_rvq_group,0.2658279282912705,0.23489669170457406,dac,0.24723791821970834,0.23348103522701658,end_to_end_rtf,24,2,7
beam_rvq_group,0.9887230692003406,0.9856080590701095,dac,0.9873549779908601,0.9878780943079387,envelope_correlation,24,3,9
beam_rvq_group,0.9801924989076943,0.9530430025205527,dac,0.9681706960494978,0.9791576204950065,source_onset_f1,24,3,9
beam_rvq_group,0.9852116202996641,0.9800619186113831,dac,0.982731107447523,0.985491097199358,transient_strength_correlation,24,3,9
beam_rvq_group,0.974541608127414,0.9635694054833518,dac,0.9691997569901506,0.9722712998024938,bandwise_envelope_correlation,24,3,9
beam_rvq_group,-9.983126946290335,-10.925807106494902,dac,-10.452879110972086,-10.483336925506592,palette_embedding_shift,24,3,9
beam_rvq_group,0.8780248535797,0.7643503352378805,dac,0.8231884067257246,0.8480676412582397,token_change_rate_middle,24,3,9
beam_rvq_group,0.8952928674717744,0.7877692169199387,dac,0.843880832195282,0.8768115937709808,token_change_rate_fine,24,3,9
beam_rvq_group,1355.9656796768345,1144.4472490370874,dac,1236.7260177755572,1139.2639490077272,sequence_runtime_ms,24,3,9
beam_rvq_group,0.25306749289379493,0.2121716601272427,dac,0.23539309248383725,0.2359894463655149,end_to_end_rtf,24,3,9
